Date,Close/Last,Volume,Open,High,Low
02/14/2025,$21.57,7038141,$21.73,$21.745,$21.54
02/13/2025,$21.74,9916734,$21.58,$21.76,$21.495
02-12-2025,$21.75,5914202,$21.59,$21.75,$21.51
02-11-2025,$21.97,8557870,$21.75,$21.99,$21.64
02-10-2025,$21.87,9249938,$21.80,$21.875,$21.705
02-07-2025,$21.83,9618042,$22.19,$22.19,$21.65
02-06-2025,$22.24,9375275,$22.38,$22.40,$22.09
02-05-2025,$22.31,9911017,$22.12,$22.33,$22.02
02-04-2025,$22.38,9778160,$22.00,$22.40,$22.00
02-03-2025,$21.99,10983110,$21.58,$22.09,$21.575
01/31/2025,$21.95,9751813,$21.92,$22.05,$21.82
01/30/2025,$21.82,6800631,$21.73,$22.07,$21.70
01/29/2025,$21.70,8351489,$21.74,$21.815,$21.59
01/28/2025,$21.53,14719340,$21.41,$21.56,$21.32
01/27/2025,$21.54,9588947,$21.23,$21.625,$21.23
01/24/2025,$21.68,7612580,$21.74,$21.85,$21.67
01/23/2025,$21.78,10751950,$21.58,$21.795,$21.52
01/22/2025,$21.61,9311589,$21.44,$21.69,$21.33
01/21/2025,$21.15,18004320,$21.10,$21.17,$20.93
01/17/2025,$21.19,13512700,$21.24,$21.50,$21.11
01/16/2025,$21.57,22922720,$22.60,$22.60,$21.31
01/15/2025,$22.89,9229895,$22.72,$22.965,$22.64
01/14/2025,$22.51,13923560,$22.58,$22.70,$22.49
01/13/2025,$22.69,11561790,$22.52,$22.78,$22.48
01-10-2025,$22.70,7409306,$22.85,$23.19,$22.70
01-08-2025,$22.78,6199798,$22.59,$22.81,$22.55
01-07-2025,$22.61,5150493,$22.67,$22.875,$22.53
01-06-2025,$22.75,4862604,$22.58,$22.805,$22.575
01-03-2025,$22.63,3810696,$22.52,$22.655,$22.45
01-02-2025,$22.62,6556203,$22.75,$22.82,$22.49
12/31/2024,$21.92,2304258,$22.15,$22.19,$21.885
12/30/2024,$22.10,4830878,$22.22,$22.22,$21.89
12/27/2024,$22.48,4340265,$22.59,$22.70,$22.30
12/26/2024,$22.64,3440353,$22.64,$22.755,$22.595
12/24/2024,$22.77,2051553,$22.58,$22.815,$22.55
12/23/2024,$22.78,3622989,$22.73,$22.84,$22.51
12/20/2024,$22.73,12356790,$22.63,$22.97,$22.44
12/19/2024,$23.42,9178696,$23.18,$23.62,$23.10
12/18/2024,$22.65,6070959,$23.13,$23.29,$22.62
12/17/2024,$23.13,3890608,$23.33,$23.38,$23.12
12/16/2024,$23.35,9862063,$23.35,$23.58,$23.305
12/13/2024,$23.40,4443501,$23.52,$23.63,$23.28
12-12-2024,$23.25,5750965,$23.37,$23.47,$23.15
12-11-2024,$23.36,6193552,$23.24,$23.51,$23.19
12-10-2024,$23.24,6600941,$23.13,$23.375,$22.96
12-09-2024,$23.16,6292039,$23.01,$23.41,$23.005
12-06-2024,$22.86,4709626,$22.88,$22.98,$22.80
12-05-2024,$22.86,5984700,$22.76,$23.085,$22.75
12-04-2024,$22.52,5866435,$22.34,$22.605,$22.265
12-03-2024,$22.12,8215926,$22.29,$22.395,$22.03
12-02-2024,$22.20,5836275,$22.11,$22.28,$22.005
