Date,Close/Last,Volume,Open,High,Low
02/14/2025,$91.67,7443,$91.80,$93.0101,$90.84
02/13/2025,$92.40,28315,$90.75,$93.324,$90.75
02-12-2025,$86.50,3838,$86.015,$86.77,$85.70
02-11-2025,$85.8605,2418,$85.58,$86.19,$85.06
02-10-2025,$84.94,9115,$84.30,$85.566,$84.30
02-07-2025,$84.952,213707,$84.28,$85.80,$84.28
02-06-2025,$84.984,6741,$85.35,$86.16,$84.30
02-05-2025,$85.85,13273,$84.83,$85.87,$84.83
02-04-2025,$85.582,3136,$84.676,$85.864,$84.676
02-03-2025,$85.15,12471,$83.33,$85.65,$83.33
01/31/2025,$84.96,11394,$85.30,$85.786,$84.78
01/30/2025,$86.59,7399,$86.252,$86.982,$86.24
01/29/2025,$85.958,56239,$85.84,$86.84,$85.746
01/28/2025,$86.46,11716,$85.282,$87.17,$85.17
01/27/2025,$86.11,182199,$84.00,$86.68,$83.85
01/24/2025,$82.99,14740,$81.70,$83.132,$81.70
01/23/2025,$82.55,15284,$82.09,$82.566,$81.6167
01/22/2025,$81.7631,12392,$82.10,$82.582,$81.05
01/21/2025,$82.99,41294,$81.25,$83.01,$80.75
01/17/2025,$81.10,58746,$81.35,$81.946,$80.40
01/16/2025,$81.342,20617,$79.855,$81.6175,$79.55
01/15/2025,$81.086,18830,$81.64,$81.64,$80.22
01/14/2025,$81.21,7077,$80.20,$81.984,$80.20
01/13/2025,$81.37,210578,$81.14,$81.53,$79.835
01-10-2025,$80.35,46398,$80.60,$82.14,$80.282
01-08-2025,$82.7549,271230,$82.32,$82.7844,$81.28
01-07-2025,$82.36,57673,$80.85,$84.176,$80.60
01-06-2025,$81.75,41647,$80.205,$82.386,$80.205
01-03-2025,$81.60,10712,$82.424,$82.50,$81.00
01-02-2025,$81.90,21620,$82.00,$83.67,$81.55
12/31/2024,$81.02,13037,$82.82,$83.96,$80.66
12/30/2024,$82.9041,32869,$80.70,$84.048,$80.70
12/27/2024,$82.40,23940,$83.00,$83.12,$80.58
12/26/2024,$82.60,16216,$81.18,$82.9333,$81.18
12/24/2024,$81.80,6204,$83.40,$83.40,$80.732
12/23/2024,$82.17,22314,$80.70,$83.22,$80.70
12/20/2024,$82.35,28363,$80.62,$83.156,$80.62
12/19/2024,$82.40,20599,$82.29,$83.43,$80.56
12/18/2024,$81.27,23369,$83.27,$83.706,$81.15
12/17/2024,$83.435,19900,$82.51,$84.7034,$82.17
12/16/2024,$82.836,21365,$83.57,$83.578,$81.948
12/13/2024,$83.76,16133,$83.15,$84.742,$83.15
12-12-2024,$83.85,14575,$84.80,$84.994,$83.20
12-11-2024,$84.47,24288,$85.58,$85.58,$84.00
12-10-2024,$83.552,70266,$85.145,$85.50,$83.336
12-09-2024,$86.00,56751,$84.90,$87.12,$84.90
12-06-2024,$85.665,34698,$85.82,$87.14,$85.49
12-05-2024,$85.92,29677,$85.85,$86.978,$85.671
12-04-2024,$86.28,17604,$85.85,$87.35,$85.12
12-03-2024,$86.092,11641,$86.75,$86.828,$85.23
12-02-2024,$86.852,232603,$86.95,$87.40,$86.038
11/29/2024,$87.00,17161,$84.20,$87.00,$84.20
11/27/2024,$86.375,139200,$85.99,$86.82,$85.814
11/26/2024,$85.62,36182,$85.15,$86.374,$84.824
11/25/2024,$85.55,18198,$84.39,$86.01,$84.39
11/22/2024,$85.19,34931,$84.15,$85.54,$83.58
11/21/2024,$85.88,12095,$85.89,$86.032,$84.59
11/20/2024,$86.6001,21907,$85.406,$86.99,$85.02
11/19/2024,$87.526,11191,$87.042,$87.62,$86.57
11/18/2024,$88.616,20764,$87.09,$88.752,$87.09
11/15/2024,$87.306,35795,$87.89,$88.72,$85.49
11/14/2024,$88.26,31033,$87.78,$89.26,$87.738
11/13/2024,$87.522,10990,$86.76,$88.32,$86.76
11-12-2024,$88.65,809392,$88.85,$89.47,$87.07
11-11-2024,$89.60,106553,$89.05,$90.94,$89.05
11-08-2024,$90.01,7104,$90.99,$91.00,$90.00
11-07-2024,$91.13,11686,$90.50,$91.87,$90.30
11-06-2024,$90.58,98476,$92.30,$92.30,$90.18
11-05-2024,$93.502,418318,$93.35,$94.25,$92.843
11-04-2024,$94.85,17430,$93.80,$96.16,$93.53
11-01-2024,$94.884,9844,$93.85,$95.634,$93.85
10/31/2024,$93.93,36664,$94.10,$95.23,$93.414
10/30/2024,$95.045,667303,$93.95,$96.41,$93.36
10/29/2024,$96.45,12189,$96.50,$96.68,$95.53
10/28/2024,$97.30,6840,$96.28,$98.32,$96.28
10/25/2024,$98.312,4679,$98.3799,$98.3799,$96.01
10/24/2024,$98.346,4401,$97.20,$98.9199,$97.20
10/23/2024,$97.897,5518,$97.50,$99.27,$96.48
10/22/2024,$98.357,5275,$99.00,$99.616,$97.73
10/21/2024,$99.19,600938,$98.23,$100.356,$98.23
10/18/2024,$97.97,6664,$98.35,$99.778,$97.97
10/17/2024,$98.626,10410,$98.778,$100.29,$98.10
10/16/2024,$96.965,14619,$96.654,$98.49,$96.654
10/15/2024,$97.234,106070,$96.07,$98.43,$96.07
10/14/2024,$97.50,11910,$95.74,$98.19,$95.48
10-11-2024,$98.33,12493,$97.84,$98.34,$97.82
10-10-2024,$97.61,6783,$97.00,$97.90,$95.25
10-09-2024,$97.14,396456,$97.00,$97.7947,$95.985
10-08-2024,$97.05,5305,$98.53,$98.53,$96.963
10-07-2024,$97.45,29862,$98.352,$98.43,$97.44
10-04-2024,$98.2518,444577,$97.91,$98.64,$97.50
10-03-2024,$98.42,4944,$98.98,$98.98,$97.50
10-02-2024,$99.92,694174,$100.59,$100.614,$98.85
10-01-2024,$100.22,5825,$98.83,$101.58,$98.83
09/30/2024,$100.34,6825,$100.25,$102.00,$99.05
09/27/2024,$101.32,5947,$99.83,$101.688,$99.83
09/26/2024,$100.452,3384,$98.40,$100.652,$98.40
09/25/2024,$99.25,7973,$100.18,$100.18,$98.40
09/24/2024,$99.442,3367,$99.54,$99.762,$97.80
09/23/2024,$97.52,18445,$97.23,$98.67,$96.13
09/20/2024,$97.115,16358,$97.35,$98.99,$96.03
09/19/2024,$100.694,12332,$98.82,$101.50,$98.65
09/18/2024,$101.47,6367,$102.97,$102.97,$100.25
09/17/2024,$101.59,6383,$102.178,$102.66,$101.59
09/16/2024,$103.17,7396,$101.86,$103.802,$101.86
09/13/2024,$103.56,198973,$104.97,$104.97,$101.65
09-12-2024,$103.0663,39590,$103.00,$103.6276,$102.72
09-11-2024,$103.13,17551,$104.51,$104.51,$102.87
09-10-2024,$104.3385,15103,$103.74,$104.71,$103.46
09-09-2024,$103.706,13456,$103.67,$104.422,$102.40
09-06-2024,$103.6602,163128,$103.52,$104.956,$103.384
09-05-2024,$104.76,101807,$104.46,$105.1716,$103.80
09-04-2024,$105.13,104945,$105.52,$107.3573,$104.17
09-03-2024,$108.34,283036,$107.51,$108.34,$106.516
08/30/2024,$106.886,65715,$106.64,$107.77,$105.91
08/29/2024,$107.36,432480,$107.00,$107.9433,$107.00
08/28/2024,$106.714,803054,$106.20,$108.01,$106.20
08/27/2024,$106.36,823143,$105.65,$106.73,$104.1067
08/26/2024,$105.44,1233301,$105.05,$106.26,$104.712
08/23/2024,$105.13,104983,$103.99,$105.34,$102.948
08/22/2024,$100.33,8136,$104.55,$105.5546,$100.33
08/21/2024,$105.02,3822,$104.966,$105.328,$104.242
08/20/2024,$104.3315,1751,$103.752,$104.3441,$102.60
08/19/2024,$103.478,8063,$103.10,$104.99,$103.10
08/16/2024,$103.18,2408,$102.30,$103.73,$102.30
08/15/2024,$102.96,8903,$102.654,$103.312,$101.775
08/14/2024,$103.03,1985,$101.674,$104.26,$101.674
08/13/2024,$102.642,2544,$101.1501,$103.084,$101.1501
08-12-2024,$102.61,10229,$102.76,$102.76,$101.07
08-09-2024,$103.76,2521,$103.00,$103.76,$102.554
08-08-2024,$101.03,6052,$103.66,$103.66,$101.03
08-07-2024,$103.99,27468,$102.25,$103.99,$101.61
08-06-2024,$104.25,4486,$103.15,$104.25,$101.75
08-05-2024,$102.2456,62297,$99.63,$104.46,$99.63
08-02-2024,$104.085,12242,$103.50,$105.00,$103.50
08-01-2024,$101.46,7527,$97.42,$103.692,$97.42
07/31/2024,$102.6025,7525,$99.604,$102.6025,$99.2621
07/30/2024,$99.544,7170,$99.15,$100.688,$99.15
07/29/2024,$99.35,15423,$99.55,$100.37,$97.978
07/26/2024,$99.70,33297,$99.72,$100.70,$97.8501
07/25/2024,$100.46,28647,$99.33,$101.34,$98.98
07/24/2024,$104.08,5199,$106.46,$106.57,$103.79
07/23/2024,$104.455,13504,$104.35,$106.334,$103.40
07/22/2024,$106.00,3283,$105.30,$106.8737,$103.25
07/19/2024,$104.774,3119,$106.158,$106.204,$104.774
07/18/2024,$105.902,4966,$106.15,$106.888,$105.41
07/17/2024,$105.83,6396,$103.65,$106.00,$103.65
07/16/2024,$102.896,2112,$104.34,$104.34,$102.24
07/15/2024,$103.55,6322,$105.196,$105.91,$102.69
07-12-2024,$105.524,4188,$105.606,$105.916,$104.632
07-11-2024,$104.455,2349,$104.40,$104.995,$103.884
07-10-2024,$103.6565,29132,$103.15,$103.902,$102.484
07-09-2024,$103.15,44819,$102.80,$104.30,$102.33
07-08-2024,$101.69,2492,$104.386,$104.386,$101.22
07-05-2024,$103.89,3477,$102.612,$104.144,$102.13
07-03-2024,$103.15,5869,$101.14,$103.61,$101.14
07-02-2024,$103.19,23638,$102.076,$103.19,$101.524
07-01-2024,$101.568,10946,$102.67,$103.05,$101.056
06/28/2024,$102.424,5444,$102.99,$102.99,$100.92
06/27/2024,$102.466,2873,$102.328,$103.698,$101.13
