Date,Close/Last,Volume,Open,High,Low
02/14/2025,$1.705,83788,$1.84,$1.8494,$1.70
02/13/2025,$1.79,101708,$1.76,$1.83,$1.681
02-12-2025,$1.75,56256,$1.72,$1.7783,$1.6284
02-11-2025,$1.74,62579,$1.79,$1.79,$1.7101
02-10-2025,$1.85,163610,$1.88,$1.9407,$1.7279
02-07-2025,$1.94,870396,$1.90,$2.15,$1.82
02-06-2025,$1.79,130156,$1.89,$1.91,$1.78
02-05-2025,$1.89,36702,$1.92,$1.9393,$1.84
02-04-2025,$1.91,124373,$1.91,$2.00,$1.89
02-03-2025,$1.93,88127,$1.93,$2.01,$1.89
01/31/2025,$1.97,117818,$2.05,$2.21,$1.94
01/30/2025,$2.08,72286,$2.03,$2.16,$2.02
01/29/2025,$2.14,183854,$1.98,$2.34,$1.9395
01/28/2025,$2.00,106391,$2.02,$2.0778,$1.80
01/27/2025,$2.02,56984,$2.21,$2.2945,$2.0101
01/24/2025,$2.20,29501,$2.21,$2.30,$2.20
01/23/2025,$2.21,29470,$2.25,$2.325,$2.1608
01/22/2025,$2.16,28250,$2.16,$2.18,$2.0897
01/21/2025,$2.18,97876,$2.14,$2.4087,$2.0808
01/17/2025,$2.14,82646,$2.22,$2.22,$2.0604
01/16/2025,$2.15,44398,$2.15,$2.1892,$2.0514
01/15/2025,$2.10,152104,$2.28,$2.37,$2.05
01/14/2025,$2.22,823829,$1.86,$2.50,$1.86
01/13/2025,$1.81,39606,$1.90,$1.90,$1.81
01-10-2025,$1.93,285722,$2.47,$2.56,$1.73
01-08-2025,$2.56,91307,$2.73,$2.74,$2.46
01-07-2025,$2.70,116832,$2.70,$2.78,$2.5807
01-06-2025,$2.70,327850,$2.69,$2.999,$2.632
01-03-2025,$2.81,582821,$3.23,$3.23,$2.6961
01-02-2025,$3.03,388041,$2.89,$3.19,$2.6944
12/31/2024,$2.58,398518,$2.50,$2.86,$2.38
12/30/2024,$2.59,401606,$2.35,$2.815,$2.20
12/27/2024,$2.38,533402,$2.88,$2.88,$2.23
12/26/2024,$2.66,743413,$2.43,$2.92,$2.43
12/24/2024,$2.53,1590766,$3.00,$3.13,$2.45
12/23/2024,$3.11,105557300,$3.84,$5.11,$2.81
12/20/2024,$1.20,186437,$1.22,$1.25,$1.175
12/19/2024,$1.22,85783,$1.25,$1.2799,$1.19
12/18/2024,$1.24,93043,$1.32,$1.44,$1.24
12/17/2024,$1.3073,132642,$1.33,$1.37,$1.29
12/16/2024,$1.3264,74293,$1.50,$1.50,$1.28
12/13/2024,$1.51,47493,$1.50,$1.5454,$1.44
12-12-2024,$1.51,68496,$1.54,$1.59,$1.49
12-11-2024,$1.54,40724,$1.55,$1.59,$1.5099
12-10-2024,$1.58,100265,$1.64,$1.64,$1.5281
12-09-2024,$1.62,42744,$1.60,$1.64,$1.59
12-06-2024,$1.59,143730,$1.55,$1.66,$1.46
12-05-2024,$1.49,151690,$1.57,$1.60,$1.35
12-04-2024,$1.60,119640,$1.69,$1.69,$1.57
12-03-2024,$1.60,215036,$1.59,$1.74,$1.55
12-02-2024,$1.64,313714,$1.54,$1.6987,$1.38
11/29/2024,$1.51,49882,$1.56,$1.56,$1.50
11/27/2024,$1.53,313478,$1.44,$1.6599,$1.41
11/26/2024,$1.43,227857,$1.58,$1.60,$1.4101
11/25/2024,$1.60,741430,$1.33,$1.60,$1.28
11/22/2024,$1.29,111515,$1.32,$1.3299,$1.27
11/21/2024,$1.30,403676,$1.35,$1.355,$1.2199
11/20/2024,$1.38,1146838,$1.29,$1.46,$1.27
11/19/2024,$1.31,120011,$1.36,$1.36,$1.20
11/18/2024,$1.36,41153,$1.43,$1.43,$1.35
11/15/2024,$1.45,52541,$1.58,$1.58,$1.42
11/14/2024,$1.59,59063,$1.79,$1.802,$1.57
11/13/2024,$1.79,96431,$1.90,$1.93,$1.75
11-12-2024,$1.91,92098,$1.92,$1.97,$1.82
11-11-2024,$1.92,191867,$1.96,$2.06,$1.8799
11-08-2024,$1.93,65970,$2.16,$2.16,$1.90
11-07-2024,$2.07,112055,$2.33,$2.33,$2.06
11-06-2024,$2.18,181420,$2.26,$2.40,$2.15
11-05-2024,$2.25,28795,$2.27,$2.3399,$2.20
11-04-2024,$2.22,23249,$2.19,$2.30,$2.18
11-01-2024,$2.19,102147,$2.38,$2.38,$2.17
10/31/2024,$2.38,136803,$2.33,$2.5857,$2.31
10/30/2024,$2.31,67857,$2.368,$2.46,$2.27
10/29/2024,$2.36,48977,$2.39,$2.46,$2.31
10/28/2024,$2.40,68069,$2.35,$2.40,$2.28
10/25/2024,$2.33,47782,$2.42,$2.44,$2.25
10/24/2024,$2.40,76763,$2.29,$2.46,$2.24
10/23/2024,$2.31,60074,$2.36,$2.36,$2.21
10/22/2024,$2.36,19046,$2.44,$2.44,$2.3204
10/21/2024,$2.41,51358,$2.45,$2.46,$2.26
10/18/2024,$2.49,89978,$2.37,$2.49,$2.32
10/17/2024,$2.37,150120,$2.23,$2.45,$2.22
10/16/2024,$2.23,99070,$2.18,$2.28,$2.10
10/15/2024,$2.08,69379,$2.20,$2.20,$2.07
10/14/2024,$2.20,31930,$2.14,$2.29,$2.11
10-11-2024,$2.12,21515,$2.13,$2.17,$2.09
10-10-2024,$2.17,34427,$2.20,$2.22,$2.0529
10-09-2024,$2.16,66755,$2.23,$2.30,$2.11
10-08-2024,$2.2501,42474,$2.30,$2.38,$2.22
10-07-2024,$2.311,80102,$2.27,$2.3999,$2.23
10-04-2024,$2.33,109581,$2.27,$2.40,$2.20
10-03-2024,$2.34,67051,$2.36,$2.37,$2.2301
10-02-2024,$2.32,122726,$2.36,$2.398,$2.20
10-01-2024,$2.41,195217,$2.21,$2.41,$2.17
09/30/2024,$2.24,1182122,$2.34,$2.57,$2.23
09/27/2024,$2.19,60938,$2.30,$2.30,$2.15
09/26/2024,$2.21,43810,$2.29,$2.33,$2.21
09/25/2024,$2.23,167954,$2.33,$2.399,$2.2101
09/24/2024,$2.31,71480,$2.38,$2.40,$2.29
09/23/2024,$2.39,161982,$2.54,$2.54,$2.21
09/20/2024,$2.54,547587,$2.59,$2.643,$2.52
09/19/2024,$2.45,449425,$2.70,$2.70,$2.1227
09/18/2024,$2.60,309544,$2.65,$2.7092,$2.58
09/17/2024,$2.70,82126,$2.7328,$2.7328,$2.60
09/16/2024,$2.73,215243,$2.71,$2.79,$2.6836
09/13/2024,$2.76,103001,$2.74,$2.9019,$2.6701
09-12-2024,$2.74,24373,$2.63,$2.76,$2.63
09-11-2024,$2.79,21535,$2.79,$2.80,$2.65
09-10-2024,$2.81,50578,$2.84,$2.96,$2.66
09-09-2024,$2.85,285551,$2.88,$3.3295,$2.74
09-06-2024,$2.80,64161,$2.73,$2.92,$2.6846
09-05-2024,$2.80,39632,$2.66,$2.8599,$2.66
